x.number,func1.number,func2.number,func3.number
2653,141,742,370
2654,577,711,262
2655,671,433,517
2656,306,529,105
2657,882,675,315
2658,224,42,471
2659,950,911,236
2660,416,445,821
2661,485,871,639
2662,393,661,62
2663,852,337,788
2664,171,309,33
2665,378,261,258
2666,637,374,984
2667,829,873,723
2668,102,269,93
2669,776,145,9
2670,21,656,420
2671,851,351,866
2672,856,633,665
2673,157,615,832
2674,80,704,53
2675,140,890,565
2676,162,936,914
2677,927,450,967
2678,718,317,822
2679,370,218,211
2680,975,474,247
2681,474,457,642
2682,692,1,983
2683,983,103,903
2684,98,695,618
2685,890,58,741
2686,963,260,44
2687,727,780,952
2688,519,255,892
2689,81,896,282
2690,430,975,502
2691,297,548,797
2692,465,728,165
2693,382,497,969
2694,6,271,674
2695,482,669,409
2696,261,415,642
2697,523,396,713
2698,855,960,417
2699,196,470,382
2700,510,431,872
2701,620,386,774
2702,223,443,203
2703,552,632,88
2704,115,599,462
2705,436,252,916
2706,470,262,886
2707,669,618,6
2708,479,491,907
2709,254,498,53
2710,167,910,47
2711,588,700,411
2712,899,435,975
2713,620,732,645
2714,904,672,494
2715,936,518,619
2716,879,394,260
2717,938,281,651
2718,584,805,36
2719,958,303,238
2720,686,934,719
2721,965,738,971
2722,829,313,810
2723,367,615,952
2724,269,806,407
2725,771,869,681
2726,765,695,492
2727,591,631,725
2728,832,54,611
2729,193,450,801
2730,389,874,529
2731,503,280,207
2732,279,535,409
2733,32,998,636
2734,984,992,423
2735,657,834,889
2736,492,816,699
2737,451,643,40
2738,110,805,621
2739,767,229,822
2740,609,313,843
2741,655,957,387
2742,166,578,909
2743,346,584,859
2744,412,106,204
2745,121,614,537
2746,831,962,186
2747,609,641,840
2748,673,785,797
2749,509,48,391
2750,381,317,768
2751,576,400,922
2752,447,790,960
2753,19,369,675
2754,731,641,813
2755,470,793,580
2756,317,44,439
2757,317,819,235
2758,603,185,156
2759,584,805,784
2760,19,682,139
2761,629,458,780
2762,504,682,563
2763,241,775,670
2764,346,26,874
2765,144,580,341
2766,157,12,594
2767,384,664,587
2768,419,236,3
2769,852,126,666
2770,872,844,248
2771,740,56,174
2772,455,856,855
2773,960,472,415
2774,323,940,612
2775,742,976,838
2776,355,968,897
2777,817,101,686
2778,140,793,914
2779,292,14,563
2780,22,434,559
2781,962,327,79
2782,866,927,637
2783,297,286,601
2784,950,672,635
2785,239,958,481
2786,8,670,969
2787,811,369,361
2788,682,852,273
2789,537,993,791
2790,860,450,648
2791,277,800,790
2792,877,4,80
2793,522,953,38
2794,441,584,875
2795,590,759,657
2796,47,515,428
2797,786,200,504
2798,736,51,355
2799,507,208,823
2800,533,177,337
2801,995,673,151
2802,823,476,396
2803,473,606,597
2804,745,306,664
2805,182,422,6
2806,905,720,856
2807,691,516,975
2808,309,847,157
2809,719,553,615
2810,474,119,336
2811,941,923,441
2812,375,51,572
2813,122,73,864
2814,80,384,444
2815,967,210,521
2816,30,814,77
2817,104,890,451
2818,951,801,775
2819,920,572,29
2820,131,755,747
2821,534,203,41
2822,800,623,733
2823,423,342,359
2824,932,89,707
2825,721,997,1000
2826,331,875,188
2827,773,190,208
2828,636,491,134
2829,251,309,495
2830,883,197,548
2831,481,379,647
2832,945,335,489
2833,813,749,233
2834,785,19,700
2835,12,15,616
2836,786,495,286
2837,628,965,514
2838,211,111,540
2839,96,989,529
2840,171,392,699
2841,504,205,256
2842,360,831,658
2843,331,138,744
2844,411,641,348
2845,867,695,11
2846,570,716,771
2847,832,265,773
2848,611,515,793
2849,244,437,308
2850,539,495,941
2851,791,285,355
2852,414,168,439
2853,840,967,356
2854,324,128,734
2855,983,90,772
2856,760,311,86
2857,954,658,644
2858,961,89,499
2859,149,20,37
2860,463,270,240
2861,372,632,417
2862,942,785,164
2863,272,513,62
2864,177,406,435
2865,637,69,931
2866,172,732,209
2867,223,459,69
2868,379,437,95
2869,452,272,633
2870,358,620,571
2871,923,915,819
2872,517,11,439
2873,874,335,847
2874,96,764,980
2875,375,413,676
2876,154,149,244
2877,555,743,876
2878,568,710,504
2879,572,435,296
2880,54,416,372
2881,955,863,442
2882,160,291,924
2883,693,479,427
2884,493,379,305
2885,838,823,761
2886,358,618,713
2887,956,481,833
2888,708,882,643
2889,236,788,31
2890,541,794,843
2891,223,571,120
2892,160,956,211
2893,68,173,510
2894,600,797,585
2895,193,688,670
2896,173,405,167
2897,134,693,183
2898,931,837,203
2899,20,171,833
2900,795,170,366
2901,463,473,70
2902,484,525,534
2903,220,157,980
2904,562,853,782
2905,315,964,282
2906,681,69,997
2907,374,674,690
2908,197,1,916
2909,584,960,419
2910,529,234,478
2911,478,247,945
2912,492,335,808
2913,829,279,189
2914,402,586,250
2915,573,983,643
2916,129,111,495
2917,378,143,180
2918,468,354,559
2919,53,565,679
2920,585,321,678
2921,913,732,502
2922,489,23,85
2923,841,829,178
2924,423,474,540
2925,52,901,286
2926,326,410,211
2927,354,311,741
2928,225,147,234
2929,521,348,499
2930,243,1000,669
2931,680,28,667
2932,283,539,688
2933,971,981,795
2934,491,872,511
2935,750,400,660
2936,921,21,58
2937,133,520,479
2938,975,579,724
2939,993,410,188
2940,4,428,35
2941,928,438,754
2942,466,776,173
2943,951,142,813
2944,787,613,104
2945,572,147,983
2946,315,869,582
2947,658,560,21
2948,681,979,334
2949,805,812,562
2950,310,266,675
2951,124,998,741
2952,525,344,117
2953,729,539,406
2954,841,579,16
2955,148,8,383
2956,356,21,675
2957,559,597,855
2958,143,748,978
2959,460,551,992
2960,986,719,151
2961,552,897,973
2962,393,871,839
2963,801,429,206
2964,630,480,845
2965,815,874,415
2966,773,294,418
2967,126,333,577
2968,418,74,53
2969,718,130,917
2970,85,895,800
2971,951,928,373
2972,39,518,387
2973,511,854,523
2974,867,772,392
2975,188,921,443
2976,382,899,714
2977,674,112,600
2978,831,138,623
2979,387,550,300
2980,986,759,137
2981,74,311,302
2982,336,18,82
2983,183,507,133
2984,700,774,921
2985,353,912,51
2986,674,288,355
2987,849,590,685
2988,744,449,542
2989,93,615,792
2990,354,209,138
2991,615,486,489
2992,672,157,1000
2993,711,417,839
2994,379,618,327
2995,585,652,250
2996,525,270,962
2997,858,904,576
2998,524,627,669
2999,249,264,167
3000,767,110,368
3001,253,596,916
3002,149,455,276
3003,445,789,416
3004,413,874,126
3005,757,264,759
3006,615,231,479
3007,590,26,812
3008,569,466,250
3009,372,419,810
3010,684,254,559
3011,111,386,454
3012,492,403,112
3013,540,46,79
3014,770,550,670
3015,652,873,235
3016,541,992,912
3017,213,250,474
3018,152,703,349
3019,651,311,836
3020,303,706,946
3021,894,121,714
3022,576,79,728
3023,628,484,556
3024,128,177,998
3025,465,251,542
3026,633,347,890
3027,262,384,708
3028,778,434,460
3029,589,149,81
3030,232,725,282
3031,302,866,520
3032,948,125,510
3033,784,957,46
3034,70,7,747
3035,39,614,312
3036,851,20,845
3037,659,175,464
3038,898,501,507
3039,506,203,153
3040,49,93,124
3041,92,237,280
3042,313,101,381
3043,518,238,988
3044,710,888,838
3045,36,690,441
3046,145,952,869
3047,646,893,88
3048,95,904,456
3049,646,135,318
3050,739,10,320
3051,576,994,795
3052,930,232,960
3053,739,741,712
3054,476,301,174
3055,1,356,215
3056,273,824,379
3057,346,838,373
3058,433,639,387
3059,213,48,484
3060,678,761,680
3061,652,110,905
3062,921,780,258
3063,737,205,803
3064,551,258,349
3065,267,277,552
3066,529,59,203
3067,261,289,686
3068,127,284,690
3069,447,302,134
3070,929,602,755
3071,767,287,210
3072,101,162,986
3073,437,427,126
3074,824,73,157
3075,402,905,318
3076,772,469,269
3077,244,712,953
3078,695,180,249
3079,427,446,549
3080,776,766,988
3081,433,226,36
3082,681,8,287
3083,682,974,721
3084,985,699,844
3085,183,353,117
3086,102,140,912
3087,440,674,157
3088,548,712,121
3089,22,451,595
3090,222,508,818
3091,600,47,418
3092,602,501,222
3093,926,472,117
3094,91,832,199
3095,252,285,456
3096,180,207,724
3097,194,102,818
3098,653,679,646
3099,204,207,434
3100,427,722,974
3101,779,558,949
3102,438,322,814
3103,947,336,901
3104,388,738,919
3105,811,807,403
3106,501,31,531
3107,215,70,972
3108,525,308,372
3109,78,343,943
3110,980,13,241
3111,954,708,286
3112,299,861,859
3113,573,336,135
3114,855,18,905
3115,175,914,734
3116,496,469,864
3117,649,569,37
3118,693,501,309
3119,792,993,69
3120,392,978,530
3121,677,904,597
3122,241,764,844
3123,1,104,952
3124,9,486,665
3125,648,338,189
3126,255,339,342
3127,277,497,764
3128,126,589,992
3129,250,968,221
3130,246,283,177
3131,196,326,399
3132,484,371,903
3133,545,605,226
3134,916,947,521
3135,355,300,26
3136,621,460,29
3137,244,736,740
3138,534,296,691
3139,211,1,230
3140,313,961,369
3141,702,481,49
3142,401,879,902
3143,452,753,107
3144,784,369,406
3145,742,464,530
3146,143,781,616
3147,886,227,668
3148,299,755,561
3149,863,17,24
3150,797,217,333
3151,881,760,810
3152,500,659,610
3153,531,120,908
3154,847,625,875
3155,297,31,609
3156,530,318,16
3157,605,827,432
3158,129,387,355
3159,386,671,715
3160,997,259,49
3161,952,648,219
3162,244,893,716
3163,979,340,280
3164,462,688,799
3165,444,360,979
3166,132,909,947
3167,977,277,402
3168,758,33,535
3169,651,994,204
3170,971,966,677
3171,731,252,675
3172,802,993,774
3173,909,338,413
3174,575,395,503
3175,156,334,674
3176,920,326,83
3177,559,324,418
3178,421,56,56
3179,227,578,517
3180,341,499,722
3181,29,991,568
3182,660,929,266
3183,712,530,701
3184,156,360,816
3185,199,382,809
3186,835,535,273
3187,473,3,90
3188,750,413,718
3189,857,237,945
3190,696,235,393
3191,149,767,793
3192,479,580,817
3193,309,317,547
3194,648,448,287
3195,779,132,431
3196,85,714,633
3197,270,292,322
3198,934,364,812
3199,139,184,36
3200,205,722,49
3201,817,515,572
3202,58,752,237
3203,22,721,738
3204,432,100,948
3205,890,396,864
3206,824,959,97
3207,623,498,553
3208,914,859,326
3209,125,923,464
3210,244,551,402
3211,192,197,168
3212,739,321,881
3213,673,660,830
3214,486,378,675
3215,477,499,468
3216,267,524,4
3217,43,28,623
3218,484,197,788
3219,717,786,546
3220,364,786,65
3221,275,993,95
3222,214,240,557
3223,30,586,663
3224,466,212,62
3225,540,1,959
3226,84,564,186
3227,11,342,24
3228,862,965,379
3229,724,333,226
3230,818,941,970
3231,725,49,224
3232,680,159,680
3233,893,101,305
3234,26,416,682
3235,486,323,149
3236,883,309,678
3237,378,77,402
3238,627,950,249
3239,347,627,861
3240,725,621,742
3241,160,52,171
3242,874,352,420
3243,962,668,953
3244,917,700,854
3245,782,438,211
3246,150,607,390
3247,974,141,773
3248,573,25,305
3249,520,386,475
3250,322,378,663
3251,894,183,81
3252,645,20,365
3253,799,90,657
3254,402,997,460
3255,604,595,643
3256,571,882,583
3257,592,927,765
3258,722,470,830
3259,315,118,898
3260,275,684,732
3261,273,170,797
3262,884,72,419
3263,351,316,883
3264,699,181,979
3265,272,155,352
3266,190,565,604
3267,874,835,378
3268,573,459,417
3269,677,134,596
3270,257,561,666
3271,587,269,109
3272,54,79,130
3273,891,717,871
3274,915,140,160
3275,959,790,704
3276,525,103,622
3277,710,71,575
3278,402,398,19
3279,85,401,849
3280,153,570,203
3281,580,962,243
3282,696,872,613
3283,660,430,384
3284,84,761,525
3285,251,821,939
3286,113,947,138
3287,725,129,293
3288,586,570,703
3289,340,271,59
3290,447,42,299
3291,316,434,377
3292,288,525,425
3293,807,142,432
3294,82,754,754
3295,772,549,489
3296,659,871,865
3297,486,88,756
3298,947,15,343
3299,206,30,779
3300,145,847,354
3301,590,368,314
3302,684,314,71
3303,95,411,96
3304,430,785,772
3305,44,705,178
3306,671,408,342
3307,137,916,287
3308,497,520,171
3309,294,742,661
3310,279,573,614
3311,567,770,664
3312,216,215,51
3313,20,952,490
3314,536,853,208
3315,415,943,408
3316,372,948,230
3317,613,130,876
3318,610,760,795
3319,776,909,868
3320,30,333,668
3321,750,798,453
3322,312,125,838
3323,526,845,279
3324,953,995,467
3325,680,439,861
3326,108,907,297
3327,401,150,290
3328,944,580,235
3329,780,998,319
3330,267,632,846
3331,186,652,68
3332,64,799,712
3333,42,398,543
3334,824,108,806
3335,282,107,153
3336,11,720,781
3337,514,584,857
3338,114,928,576
3339,248,739,193
3340,849,638,401
3341,348,927,236
3342,911,455,828
3343,821,378,737
3344,824,502,70
3345,260,369,519
3346,2,847,542
3347,946,237,709
3348,148,152,756
3349,103,943,869
3350,678,358,670
3351,562,213,422
3352,3,690,147
3353,199,773,915
3354,285,702,548
3355,846,534,517
3356,530,527,749
3357,546,424,60
3358,577,476,501
3359,948,395,288
3360,532,261,198
3361,279,493,261
3362,622,733,698
3363,919,728,284
3364,729,205,939
3365,94,872,938
3366,897,240,123
3367,369,782,10
3368,162,442,621
3369,750,442,242
3370,45,981,98
3371,305,478,541
3372,940,140,805
3373,643,119,280
3374,987,214,446
3375,924,578,935
3376,494,20,971
3377,344,385,456
3378,858,855,813
3379,372,258,40
3380,549,339,783
3381,473,622,56
3382,408,147,579
3383,511,367,461
3384,179,8,984
3385,262,151,536
3386,527,753,584
3387,987,277,32
3388,83,328,912
3389,654,514,214
3390,161,988,83
3391,712,151,406
3392,169,32,602
3393,818,31,449
3394,448,501,778
3395,198,914,681
3396,149,1000,201
3397,240,389,26
3398,978,52,723
3399,766,150,127
3400,145,277,641
3401,581,753,796
3402,94,848,845
3403,708,310,877
3404,576,877,298
3405,424,676,318
3406,682,729,912
3407,872,660,610
3408,815,512,188
3409,953,500,236
3410,773,65,530
3411,298,635,20
3412,100,638,751
3413,633,209,772
3414,554,367,215
3415,301,185,173
3416,290,659,925
3417,183,240,776
3418,494,54,989
3419,829,345,468
3420,435,529,322
3421,286,597,865
3422,753,110,327
3423,364,854,478
3424,328,82,506
3425,115,690,508
3426,477,945,771
3427,268,517,242
3428,119,190,298
3429,736,95,269
3430,7,357,274
3431,882,622,565
3432,920,716,732
3433,968,573,764
3434,644,190,503
3435,843,587,556
3436,939,340,397
3437,2,92,588
3438,673,15,622
3439,409,902,348
3440,64,319,448
3441,933,809,277
3442,128,302,361
3443,857,127,575
3444,40,461,447
3445,505,822,333
3446,119,887,14
3447,617,856,316
3448,489,815,528
3449,413,574,94
3450,343,51,356
3451,939,382,455
3452,164,980,23
3453,943,396,291
3454,982,716,666
3455,740,203,644
3456,25,204,852
3457,561,742,807
3458,812,875,322
3459,250,941,593
3460,250,71,16
3461,535,320,104
3462,826,739,12
3463,43,23,150
3464,626,372,941
3465,770,63,758
3466,682,307,866
3467,798,902,798
3468,922,533,913
3469,6,42,670
3470,788,504,22
3471,305,542,375
3472,501,943,800
3473,145,40,322
3474,127,952,663
3475,501,90,579
3476,453,5,672
3477,239,290,844
3478,773,765,3
3479,168,966,922
3480,574,157,723
3481,748,188,545
3482,865,385,418
3483,216,459,81
3484,811,956,160
3485,630,901,515
3486,557,867,168
3487,64,263,245
3488,736,895,479
3489,434,573,510
3490,995,924,216
3491,705,875,998
3492,282,540,265
3493,456,855,798
3494,958,937,165
3495,25,541,990
3496,483,609,207
3497,501,43,394
3498,759,215,556
3499,950,460,162
3500,385,374,912
3501,36,962,802
3502,859,887,168
3503,627,742,364
3504,359,440,633
3505,796,21,80
3506,701,830,702
3507,799,136,557
3508,793,888,521
3509,634,184,497
3510,421,386,746
3511,35,470,873
3512,169,662,710
3513,119,279,526
3514,127,833,279
3515,531,381,650
3516,556,986,589
3517,86,925,823
3518,425,972,307
3519,364,876,301
3520,596,7,620
3521,180,528,159
3522,153,646,83
3523,325,632,54
3524,841,61,850
3525,190,674,570
3526,460,860,306
3527,12,17,555
3528,778,558,310
3529,611,371,924
3530,768,665,508
3531,807,195,500
3532,156,22,33
3533,503,380,987
3534,616,357,546
3535,409,800,472
3536,344,482,70
3537,228,402,821
3538,954,591,670
3539,298,251,203
3540,718,856,543
3541,280,561,542
3542,557,550,457
3543,635,413,606
3544,412,233,201
3545,903,63,744
3546,624,215,296
3547,75,168,973
3548,244,549,489
3549,158,661,617
3550,144,803,461
3551,12,588,598
3552,669,558,993
3553,835,281,149
3554,332,780,425
3555,14,677,556
3556,240,802,993
3557,907,196,878
3558,71,787,735
3559,216,91,951
3560,3,829,28
3561,603,104,928
3562,664,813,128
3563,76,153,13
3564,326,690,670
3565,765,702,503
3566,234,917,700
3567,705,275,478
3568,788,690,126
3569,431,614,401
3570,390,779,487
3571,58,828,138
3572,318,181,843
3573,601,83,706
3574,469,964,154
3575,678,91,798
3576,538,434,759
3577,581,16,115
3578,154,626,993
3579,694,795,551
3580,276,967,94
3581,728,130,969
3582,853,818,571
3583,15,431,336
3584,797,37,76
3585,918,714,918
3586,799,418,558
3587,67,168,647
3588,113,661,867
3589,422,446,354
3590,588,549,15
3591,743,404,433
3592,510,789,543
3593,949,147,774
3594,303,627,840
3595,46,77,163
3596,403,645,146
3597,127,193,586
3598,639,847,349
3599,990,808,127
3600,756,318,650
3601,134,198,142
3602,901,942,675
3603,531,88,455
3604,112,210,301
3605,397,44,518
3606,825,412,527
3607,704,947,698
3608,237,234,10
3609,319,32,451
3610,646,172,71
3611,588,758,926
3612,910,223,571
3613,248,307,630
3614,144,327,653
3615,381,418,696
3616,77,976,591
3617,143,509,437
3618,705,693,820
3619,106,439,980
3620,242,126,349
3621,968,587,170
3622,368,976,895
3623,753,596,489
3624,177,135,702
3625,844,111,189
3626,725,701,601
3627,467,560,968
3628,723,953,729
3629,531,980,226
3630,992,82,336
3631,993,580,471
3632,472,11,715
3633,873,471,981
3634,692,447,139
3635,15,1,826
3636,423,845,235
3637,885,552,608
3638,860,777,723
3639,449,542,52
3640,109,536,848
3641,839,413,981
3642,274,977,416
3643,145,984,659
3644,459,954,493
3645,186,473,135
3646,305,475,387
3647,779,101,885
3648,4,33,903
3649,265,926,869
3650,44,361,31
3651,740,83,851
3652,289,523,241
3653,294,353,205
3654,645,856,697
3655,960,720,134
3656,584,342,860
3657,417,336,985
3658,811,757,611
3659,376,361,295
3660,542,176,165
3661,308,581,41
3662,206,999,107
3663,795,921,180
3664,379,317,812
3665,976,307,669
3666,707,274,913
3667,656,967,209
3668,757,505,454
3669,261,187,276
3670,981,716,405
3671,65,731,230
3672,137,619,779
3673,338,175,119
3674,119,340,118
3675,21,706,785
3676,388,767,475
3677,593,930,958
3678,378,783,940
3679,735,523,878
3680,138,935,778
3681,608,901,138
3682,406,808,366
3683,598,824,429
3684,554,714,151
3685,994,222,924
3686,52,835,209
3687,753,49,774
3688,558,160,147
3689,3,609,398
3690,296,663,665
3691,143,311,789
3692,648,843,139
3693,133,36,960
3694,42,975,425
3695,700,969,494
3696,134,510,36
3697,698,264,860
3698,512,756,315
3699,215,657,473
3700,492,701,492
3701,581,214,350
3702,670,730,805
3703,88,824,558
3704,857,802,468
3705,512,72,566
3706,301,885,933
3707,901,99,536
3708,778,33,624
3709,908,890,824
3710,971,426,900
3711,308,981,583
3712,478,298,372
3713,387,555,661
3714,358,158,161
3715,679,458,503
3716,605,421,981
3717,4,273,64
3718,565,404,224
3719,99,879,495
3720,753,752,773
3721,431,837,451
3722,691,108,197
3723,938,30,635
3724,798,403,553
3725,767,809,273
3726,346,781,291
3727,90,144,348
3728,994,424,420
3729,648,794,95
3730,619,973,48
3731,202,347,18
3732,824,141,498
3733,137,336,636
3734,549,888,375
3735,447,781,248
3736,773,106,636
3737,68,576,61
3738,538,182,936
3739,94,246,427
3740,238,627,273
3741,182,463,890
3742,617,584,536
3743,467,686,143
3744,438,10,810
3745,789,993,295
3746,233,19,810
3747,791,177,322
3748,457,778,234
3749,465,951,313
3750,978,587,296
3751,159,332,556
3752,899,680,206
3753,821,136,371
3754,503,477,982
3755,325,842,397
3756,533,779,46
3757,114,134,999
3758,360,670,453
3759,706,684,675
3760,191,667,808
3761,454,158,322
3762,189,340,16
3763,593,564,335
3764,685,438,121
3765,268,573,559
3766,273,79,674
3767,692,145,125
3768,306,492,904
3769,516,526,65
3770,409,435,363
3771,523,950,156
3772,65,884,653
3773,814,723,842
3774,517,35,585
3775,701,282,475
3776,111,995,216
3777,614,34,731
3778,570,934,388
3779,71,245,481
3780,935,204,19
3781,712,593,374
3782,791,293,139
3783,251,258,324
3784,144,207,321
3785,881,978,283
3786,223,199,449
3787,270,463,667
3788,375,574,805
3789,189,209,470
3790,96,534,513
3791,359,981,703
3792,535,809,709
3793,67,334,661
3794,636,557,674
3795,480,343,201
3796,926,345,187
3797,906,818,811
3798,194,852,984
3799,843,924,747
3800,72,71,168
3801,736,193,689
3802,659,588,580
3803,373,31,807
3804,761,331,267
3805,370,917,868
3806,484,637,176
3807,192,434,17
3808,268,620,80
3809,610,741,520
3810,253,285,441
3811,31,50,886
3812,858,394,257
3813,685,565,543
3814,84,991,229
3815,9,856,126
3816,680,402,150
3817,306,784,2
3818,814,140,492
3819,349,792,439
3820,13,7,28
3821,646,780,392
3822,579,145,535
3823,727,485,55
3824,237,282,850
3825,187,929,566
3826,714,184,814
3827,42,618,897
3828,792,110,971
3829,971,747,881
3830,595,765,528
3831,771,388,405
3832,60,681,639
3833,574,247,751
3834,528,391,944
3835,649,879,790
3836,835,341,931
3837,210,313,753
3838,342,263,164
3839,584,166,152
3840,335,78,55
3841,896,658,128
3842,544,990,428
3843,210,494,138
3844,896,236,160
3845,380,953,856
3846,459,661,292
3847,948,926,212
3848,193,270,151
3849,659,851,101
3850,936,485,685
3851,987,413,861
3852,220,203,119
3853,860,881,53
3854,419,83,693
3855,158,346,806
3856,488,482,734
3857,471,247,170
3858,752,614,637
3859,743,752,562
3860,912,503,622
3861,763,881,833
3862,525,261,644
3863,60,341,984
3864,806,257,158
3865,376,122,435
3866,629,493,751
3867,552,108,452
3868,800,252,699
3869,375,219,403
3870,253,103,705
3871,167,175,372
3872,512,96,385
3873,116,784,488
3874,315,427,494
3875,68,796,556
3876,435,854,303
3877,847,586,1000
3878,230,943,398
3879,423,787,463
3880,177,707,27
3881,653,262,702
3882,126,970,765
3883,85,599,279
3884,368,288,14
3885,265,306,852
3886,672,19,501
3887,533,893,462
3888,646,282,989
3889,799,253,730
3890,818,108,982
3891,482,589,382
3892,739,460,441
3893,578,208,623
3894,665,762,649
3895,103,571,242
3896,411,900,167
3897,530,523,787
3898,12,75,233
3899,916,976,701
3900,621,292,222
3901,574,241,760
3902,937,103,391
3903,110,655,670
3904,944,898,593
3905,936,640,694
3906,651,48,948
3907,19,103,936
3908,791,84,587
3909,698,804,740
3910,63,183,324
3911,765,175,37
3912,821,981,732
3913,308,679,351
3914,332,135,370
3915,591,134,594
3916,319,106,839
3917,955,848,332
3918,710,476,82
3919,631,253,400
3920,135,528,984
3921,485,602,839
3922,482,323,386
3923,145,849,559
3924,976,529,233
3925,270,459,331
3926,479,206,320
3927,7,170,532
3928,102,348,228
3929,809,744,601
3930,111,280,927
3931,216,923,522
3932,366,749,656
3933,295,188,881
3934,493,133,947
3935,64,163,163
3936,682,487,603
3937,4,91,999
3938,935,448,762
3939,49,543,251
3940,998,33,617
3941,756,270,756
3942,174,493,36
3943,580,983,180
3944,644,553,406
3945,919,711,139
3946,784,505,15
3947,139,142,359
3948,520,135,361
3949,36,949,203
3950,605,802,980
3951,938,398,27
3952,737,546,223
3953,294,575,649
3954,543,399,228
3955,498,958,390
3956,632,311,619
3957,264,386,877
3958,746,175,968
3959,552,142,485
3960,70,284,805
3961,929,149,460
3962,453,794,900
3963,705,936,991
3964,918,1000,148
3965,936,104,160
3966,777,423,613
3967,911,735,859
3968,625,501,894
3969,804,588,462
3970,114,196,434
3971,59,604,979
3972,268,974,447
3973,23,527,55
3974,702,934,822
3975,634,416,644
3976,607,449,56
3977,386,816,784
3978,426,200,942
3979,926,605,876
3980,917,173,564
3981,102,885,609
3982,796,191,601
3983,72,378,549
3984,300,648,560
3985,177,430,306
3986,901,898,303
3987,556,243,248
3988,739,573,248
3989,824,281,948
3990,718,458,916
3991,233,184,734
3992,19,956,862
3993,501,895,883
3994,319,759,683
3995,668,571,747
3996,814,876,185
3997,872,689,18
3998,970,23,588
3999,969,191,423
4000,67,694,794
4001,313,973,923
4002,487,567,248
4003,907,58,956
4004,318,49,542
4005,225,872,671
4006,833,67,106
4007,931,941,76
4008,123,149,99
4009,209,294,965
4010,79,829,509
4011,162,705,714
4012,118,558,45
4013,580,969,94
4014,995,188,355
4015,775,169,62
4016,341,428,27
4017,782,450,522
4018,169,568,992
4019,572,418,904
4020,910,464,543
4021,520,254,838
4022,570,887,799
4023,996,363,420
4024,611,289,343
4025,956,386,273
4026,491,657,373
4027,790,429,197
4028,601,774,456
4029,535,532,200
4030,341,368,924
4031,953,214,191
4032,113,858,601
4033,857,710,645
4034,863,694,176
4035,700,755,453
4036,818,90,826
4037,643,172,768
4038,19,52,571
4039,534,111,216
4040,443,656,779
4041,824,874,307
4042,339,382,146
4043,459,714,126
4044,670,738,143
4045,911,61,708
4046,110,52,752
4047,59,692,445
4048,62,373,541
4049,583,763,323
4050,613,714,74
4051,218,555,119
4052,692,519,745
4053,68,767,868
4054,759,12,322
4055,975,294,348
4056,496,854,844
4057,230,189,280
4058,5,659,792
4059,40,600,489
4060,85,782,152
4061,484,983,756
4062,284,694,805
4063,19,561,528
4064,735,320,607
4065,250,273,671
4066,7,162,812
4067,159,246,216
4068,902,42,188
4069,709,466,69
4070,641,272,735
4071,694,47,247
4072,521,293,849
4073,417,380,37
4074,299,713,505
4075,134,774,350
4076,981,478,446
4077,445,932,10
4078,786,441,425
4079,26,443,258
4080,290,215,814
4081,2,669,558
4082,747,826,655
4083,748,975,847
4084,736,524,723
4085,968,656,463
4086,693,368,921
4087,248,333,909
4088,350,954,903
4089,7,351,464
4090,855,39,973
4091,725,738,964
4092,371,310,597
4093,820,442,158
4094,745,578,591
4095,470,383,349
4096,905,349,469
4097,345,965,113
4098,700,373,120
4099,269,413,727
4100,59,324,459
4101,98,807,140
4102,704,248,539
4103,219,305,969
4104,846,215,138
4105,884,503,971
4106,28,330,767
4107,151,612,82
4108,991,116,684
4109,956,843,864
4110,83,769,549
4111,399,735,135
4112,913,532,963
4113,210,522,343
4114,206,658,181
4115,999,599,741
4116,922,375,810
4117,929,651,110
4118,921,233,941
4119,970,940,700
4120,269,835,328
4121,418,751,70
4122,776,314,561
4123,100,246,637
4124,807,925,58
4125,528,513,518
4126,198,713,236
4127,108,318,888
4128,222,17,127
4129,810,209,275
4130,241,13,814
4131,977,578,875
4132,844,867,232
4133,790,657,851
4134,930,472,183
4135,190,477,781
4136,634,202,534
4137,741,295,865
4138,228,544,659
4139,313,199,691
4140,795,222,84
4141,233,148,178
4142,856,280,820
4143,449,755,948
4144,118,274,786
4145,224,199,221
4146,150,867,394
4147,161,282,844
4148,452,278,416
4149,446,819,453
4150,372,456,913
4151,768,508,767
4152,783,786,333
4153,629,955,40
4154,35,373,247
4155,388,375,393
4156,184,868,265
4157,241,276,190
4158,666,307,363
4159,299,861,415
4160,711,651,467
4161,397,269,287
4162,435,153,403
4163,543,992,440
4164,5,929,359
4165,491,621,747
4166,262,154,848
4167,989,593,558
4168,331,421,349
4169,220,411,215
4170,535,572,189
4171,100,88,418
4172,620,154,136
4173,547,2,25
4174,666,553,309
4175,59,451,360
4176,109,498,226
4177,723,183,668
4178,143,489,561
4179,714,525,81
4180,295,297,9
4181,187,376,786
4182,864,900,173
4183,526,386,817
4184,609,825,95
4185,680,666,253
4186,390,280,417
4187,529,730,272
4188,311,44,947
4189,282,502,11
4190,480,336,25
4191,537,320,778
4192,225,858,114
4193,460,791,14
4194,416,295,44
4195,582,266,779
4196,686,969,999
4197,964,763,515
4198,893,223,314
4199,420,901,369
4200,87,214,463
4201,192,507,165
4202,523,816,148
4203,564,522,71
4204,513,293,312
